synid,class_name,urls,flickr_urls
n00004475,organism,8,6
n00005787,benthos,1264,626
n00006024,heterotroph,1,0
n00006484,cell,1251,628
n00007846,person,1242,1138
n00015388,animal,1571,945
n00017222,plant,1271,1215
n00021265,food,1272,1239
n00021939,artifact,1249,741
n00120010,hop,811,617
n00141669,check-in,1015,670
n00288000,dressage,2011,853
n00288190,curvet,3,0
n00288384,piaffe,1105,270
n00324978,funambulism,909,537
n00326094,rock climbing,1450,1277
n00433458,contact sport,1083,926
n00433661,outdoor sport,1350,896
n00433802,gymnastics,1948,978
n00434075,acrobatics,1828,788
n00439826,track and field,1849,883
n00440039,track,719,222
n00440218,jumping,322,66
n00440382,broad jump,1751,809
n00440509,high jump,1738,719
n00440643,Fosbury flop,136,4
n00440747,skiing,1230,633
n00440941,cross-country skiing,1401,842
n00441073,ski jumping,1070,559
n00441824,water sport,1973,1070
n00442115,swimming,1816,669
n00442437,bathe,1188,829
n00442847,dip,1716,984
n00442981,dive,659,530
n00443231,floating,1285,582
n00443375,dead-man's float,1,0
n00443517,belly flop,2,0
n00443692,cliff diving,1097,836
n00443803,flip,623,445
n00443917,gainer,1,0
n00444142,half gainer,14,0
n00444340,jackknife,485,1
n00444490,swan dive,4,0
n00444651,skin diving,1211,577
n00444846,scuba diving,1507,548
n00444937,snorkeling,1257,879
n00445055,surfing,2055,1107
n00445226,water-skiing,1743,871
n00445351,rowing,1434,661
n00445685,sculling,1624,830
n00445802,boxing,1804,611
n00446311,professional boxing,1157,468
n00446411,in-fighting,382,30
n00446493,fight,1201,1168
n00446632,rope-a-dope,236,2
n00446804,spar,1643,703
n00446980,archery,1389,858
n00447073,sledding,1801,992
n00447221,tobogganing,1150,902
n00447361,luging,343,205
n00447463,bobsledding,1003,601
n00447540,wrestling,1928,1310
n00447957,Greco-Roman wrestling,1553,1034
n00448126,professional wrestling,1337,845
n00448232,sumo,1707,919
n00448466,skating,1068,237
n00448640,ice skating,511,352
n00448748,figure skating,1728,810
n00448872,rollerblading,1655,893
